"STATE_NAME","GEOID","year_numerical","total_event_days","average_impacted_area_hectare","sd_impacted_area_hectare"
"Alabama",1001,2009,5,138461.7,112520.9
"Alabama",1001,2010,10,182551.3,80909.5
"Alabama",1001,2011,9,25612,15783.7
"Alabama",1001,2014,5,178845.7,93945.5
"Alabama",1001,2015,3,220859.4,0
"Alabama",1001,2017,2,220859.4,0
"Alabama",1001,2018,7,220859.4,0
"Alabama",1001,2019,6,30338.1,14756.8
"Alabama",1001,2020,1,220859.4,NA
"Alabama",1001,2022,3,220859.4,0
"Alabama",1003,2009,7,54886.9,105221.5
"Alabama",1003,2010,25,12841.3,16740.2
"Alabama",1003,2011,3,7316.4,716.3
"Alabama",1003,2014,3,280786.9,0
"Alabama",1003,2015,1,8028.4,NA
"Alabama",1003,2016,1,3400,NA
"Alabama",1003,2017,1,2600,NA
"Alabama",1003,2019,6,4480,3278.8
"Alabama",1003,2020,2,400,0
"Alabama",1003,2021,1,129775.9,NA
"Alabama",1003,2022,9,4955,2157.5
"Alabama",1005,2008,1,175461.8,NA
"Alabama",1005,2009,6,218497.9,79007.7
"Alabama",1005,2010,11,293611.6,89598.2
"Alabama",1005,2012,2,118017.6,108456.8
"Alabama",1005,2013,4,225919.8,0
"Alabama",1005,2014,5,240652.4,139940.9
"Alabama",1005,2015,9,144327.5,138688.3
"Alabama",1005,2016,1,76578.3,NA
"Alabama",1005,2017,5,111365.6,123829.9
"Alabama",1005,2018,8,262815.4,100489.1
"Alabama",1005,2019,3,27169.8,20450.5
"Alabama",1005,2020,3,159643.7,143873.4
"Alabama",1005,2021,2,26006.8,19452.2
"Alabama",1005,2022,10,163454.8,117927
"Alabama",1007,2009,2,231268.3,0
"Alabama",1007,2010,7,231268.3,0
"Alabama",1007,2014,5,189341,93752.4
"Alabama",1007,2015,3,231231.7,63.3
"Alabama",1007,2017,2,231268.3,0
"Alabama",1007,2018,7,231268.3,0
"Alabama",1007,2019,1,1910.9,NA
"Alabama",1007,2020,1,231268.3,NA
"Alabama",1007,2021,1,28077.8,NA
"Alabama",1007,2022,6,135941.9,106361
"Alabama",1009,2009,7,160418.9,110550.6
"Alabama",1009,2010,10,186900,101427.4
"Alabama",1009,2011,4,35341.7,39668.7
"Alabama",1009,2014,8,154996.9,115730.7
"Alabama",1009,2015,3,245695,0
"Alabama",1009,2017,6,97462.1,116059.4
"Alabama",1009,2018,7,245695,0
"Alabama",1009,2020,4,219155.3,17693.1
"Alabama",1009,2021,2,26288.4,36913
"Alabama",1009,2022,9,123455.6,115993.9
"Alabama",1011,2008,1,29229.4,NA
"Alabama",1011,2009,6,148640.2,96583.7
"Alabama",1011,2010,10,200406.4,58093.6
"Alabama",1011,2011,1,552.1,NA
"Alabama",1011,2012,1,86637.2,NA
"Alabama",1011,2013,4,960.3,0
"Alabama",1011,2014,4,226292.9,0
"Alabama",1011,2015,4,208345.7,35894.4
"Alabama",1011,2016,1,422.9,NA
"Alabama",1011,2017,2,171342.2,77712
"Alabama",1011,2018,8,189506.9,74420.5
"Alabama",1011,2019,2,70589.5,28122.8
"Alabama",1011,2020,3,75712.9,130406.1
"Alabama",1011,2022,4,172968.9,106648
"Alabama",1013,2009,9,160015.6,90082.5
"Alabama",1013,2010,12,205275.6,110272.6
"Alabama",1013,2011,7,140312.4,100521.9
"Alabama",1013,2012,1,47300,NA
"Alabama",1013,2014,5,209070.5,114067.9
"Alabama",1013,2015,3,228860.3,87625.6
"Alabama",1013,2017,2,279451,0
"Alabama",1013,2018,7,279451,0
"Alabama",1013,2019,2,108107.3,100843.8
"Alabama",1013,2020,1,279451,NA
"Alabama",1013,2021,1,345,NA
"Alabama",1013,2022,4,221913.2,115075.5
"Alabama",1015,2009,5,230090.5,0
"Alabama",1015,2010,20,86175.2,99676.9
"Alabama",1015,2011,7,14584.7,12368.7
"Alabama",1015,2014,6,199058,76013.7
"Alabama",1015,2015,5,139619.9,123882.6
"Alabama",1015,2016,1,595.9,NA
"Alabama",1015,2017,3,228442.2,2855
"Alabama",1015,2018,7,230090.5,0
