"STATE_NAME","GEOID","event_type","year_numerical","total_event_days","average_impacted_area_hectare","sd_impacted_area_hectare"
"Alabama",1001,"Extreme Cold Event",2009,3,220531.6,567.7
"Alabama",1001,"Extreme Cold Event",2010,9,200733.7,60377.1
"Alabama",1001,"Extreme Cold Event",2014,5,178845.7,93945.5
"Alabama",1001,"Extreme Cold Event",2015,3,220859.4,0
"Alabama",1001,"Extreme Cold Event",2017,2,220859.4,0
"Alabama",1001,"Extreme Cold Event",2018,7,220859.4,0
"Alabama",1001,"Extreme Cold Event",2020,1,220859.4,NA
"Alabama",1001,"Extreme Cold Event",2022,3,220859.4,0
"Alabama",1001,"Extreme Heat Event",2009,2,15356.7,11270.7
"Alabama",1001,"Extreme Heat Event",2010,1,18909.5,NA
"Alabama",1001,"Extreme Heat Event",2011,9,25612,15783.7
"Alabama",1001,"Extreme Heat Event",2019,6,30338.1,14756.8
"Alabama",1003,"Extreme Cold Event",2009,3,124736.2,142834.2
"Alabama",1003,"Extreme Cold Event",2010,6,28347.7,30095.1
"Alabama",1003,"Extreme Cold Event",2014,3,280786.9,0
"Alabama",1003,"Extreme Cold Event",2015,1,8028.4,NA
"Alabama",1003,"Extreme Cold Event",2019,2,299.7,0
"Alabama",1003,"Extreme Cold Event",2021,1,129775.9,NA
"Alabama",1003,"Extreme Heat Event",2009,4,2500,1991.6
"Alabama",1003,"Extreme Heat Event",2010,19,7944.5,4074.2
"Alabama",1003,"Extreme Heat Event",2011,3,7316.4,716.3
"Alabama",1003,"Extreme Heat Event",2016,1,3400,NA
"Alabama",1003,"Extreme Heat Event",2017,1,2600,NA
"Alabama",1003,"Extreme Heat Event",2019,4,6570.1,665.3
"Alabama",1003,"Extreme Heat Event",2020,2,400,0
"Alabama",1003,"Extreme Heat Event",2022,9,4955,2157.5
"Alabama",1005,"Extreme Cold Event",2008,1,175461.8,NA
"Alabama",1005,"Extreme Cold Event",2009,6,218497.9,79007.7
"Alabama",1005,"Extreme Cold Event",2010,11,293611.6,89598.2
"Alabama",1005,"Extreme Cold Event",2012,1,194708.1,NA
"Alabama",1005,"Extreme Cold Event",2013,4,225919.8,0
"Alabama",1005,"Extreme Cold Event",2014,5,240652.4,139940.9
"Alabama",1005,"Extreme Cold Event",2015,4,266983.5,117581.8
"Alabama",1005,"Extreme Cold Event",2016,1,76578.3,NA
"Alabama",1005,"Extreme Cold Event",2017,1,325774.4,NA
"Alabama",1005,"Extreme Cold Event",2018,7,292336.5,60391.5
"Alabama",1005,"Extreme Cold Event",2020,3,159643.7,143873.4
"Alabama",1005,"Extreme Cold Event",2022,3,325774.4,0
"Alabama",1005,"Extreme Heat Event",2012,1,41327,NA
"Alabama",1005,"Extreme Heat Event",2015,5,46202.8,31932.6
"Alabama",1005,"Extreme Heat Event",2017,4,57763.4,35923.2
"Alabama",1005,"Extreme Heat Event",2018,1,56168.1,NA
"Alabama",1005,"Extreme Heat Event",2019,3,27169.8,20450.5
"Alabama",1005,"Extreme Heat Event",2021,2,26006.8,19452.2
"Alabama",1005,"Extreme Heat Event",2022,7,93889.3,45170.9
